,date,open,high,low,close
0,2021-05-28 06:55,36777.0,36927.71,35523.53,36927.71
1,2021-05-28 06:56,36949.99,38100.0,36697.28,36837.12
2,2021-05-28 06:57,36840.86,36884.05,36111.25,36251.26
3,2021-05-28 06:58,36881.49,36881.49,36339.86,36827.04
4,2021-05-28 06:59,36837.3,36950.0,36691.32,36950.0
5,2021-05-28 07:00,36933.03,36933.03,35694.03,36796.2
6,2021-05-28 07:01,36787.62,36877.49,35191.31,36805.4
7,2021-05-28 07:02,36781.94,36825.0,36266.4,36789.1
8,2021-05-28 07:03,36789.09,36856.08,35712.27,36774.39
9,2021-05-28 07:04,36783.53,36783.53,36266.96,36722.38
10,2021-05-28 07:05,36723.32,36791.33,35814.71,36675.97
11,2021-05-28 07:06,36668.01,36759.81,35913.99,36708.33
12,2021-05-28 07:07,36715.39,36833.04,36715.39,36793.51
13,2021-05-28 07:08,36786.91,36837.47,35418.77,36800.05
14,2021-05-28 07:09,36800.01,36856.26,36448.89,36856.19
15,2021-05-28 07:10,36861.89,98115.94,36122.45,36530.61
16,2021-05-28 07:11,36871.82,37346.94,36122.45,36921.92
17,2021-05-28 07:12,36925.08,37002.82,36284.97,37000.01
18,2021-05-28 07:13,37002.04,37076.26,37001.0,37005.81
19,2021-05-28 07:14,37016.21,37018.88,35349.77,36965.71
20,2021-05-28 07:15,36976.09,37154.93,36533.91,37145.62
21,2021-05-28 07:16,37135.08,37300.01,37067.66,37262.85
22,2021-05-28 07:17,37247.05,37340.55,35812.26,36987.91
23,2021-05-28 07:18,37312.86,37314.79,37268.96,37287.01
24,2021-05-28 07:19,37274.38,37312.77,35775.55,37255.25
25,2021-05-28 07:20,37250.38,37250.38,37138.98,37138.98
26,2021-05-28 07:21,37122.69,37191.54,37116.39,37131.0
27,2021-05-28 07:22,37102.6,37111.1,36619.4,37063.46
28,2021-05-28 07:23,37061.01,37095.55,36035.07,37073.14
29,2021-05-28 07:24,37074.88,37139.36,37068.51,37072.97
30,2021-05-28 07:25,37070.0,37537.95,36876.86,36966.7
31,2021-05-28 07:26,36938.78,36990.0,35429.29,36977.08
32,2021-05-28 07:27,36959.37,36959.37,8921.43,36917.44
33,2021-05-28 07:28,36927.62,36927.62,36655.9,36903.82
34,2021-05-28 07:29,36902.51,36972.27,36902.51,36930.99
35,2021-05-28 07:30,36940.0,37051.93,36940.0,37024.85
36,2021-05-28 07:31,37034.77,37035.52,36199.44,36939.42
37,2021-05-28 07:32,36939.42,36967.54,36783.47,36967.54
38,2021-05-28 07:33,36955.36,37042.16,36243.72,37005.27
39,2021-05-28 07:34,36976.14,37012.33,35161.7,36986.22
40,2021-05-28 07:35,36990.3,36990.3,36916.02,36916.02
41,2021-05-28 07:36,36911.29,36914.99,36327.06,36901.98
42,2021-05-28 07:37,36900.02,36936.05,36593.69,36900.01
43,2021-05-28 07:38,36901.81,36931.11,36792.5,36792.5
44,2021-05-28 07:39,36788.6,36831.87,36788.07,36801.27
45,2021-05-28 07:40,36808.71,36880.52,36785.93,36791.72
46,2021-05-28 07:41,36801.19,36802.09,36697.37,36699.99
47,2021-05-28 07:42,36697.68,36729.66,36666.52,36680.01
48,2021-05-28 07:43,36689.02,36730.0,36681.89,36730.0
49,2021-05-28 07:44,36728.54,36816.75,36728.54,36772.69
50,2021-05-28 07:45,36782.04,36783.82,36723.22,36775.74
51,2021-05-28 07:46,36723.21,36726.95,36358.56,36654.24
52,2021-05-28 07:47,36607.7,36673.35,36607.4,36667.27
53,2021-05-28 07:48,36666.81,36666.81,36618.34,36618.34
54,2021-05-28 07:49,36619.7,36628.0,36551.11,36551.11
55,2021-05-28 07:50,36563.71,36689.91,36563.71,36649.99
56,2021-05-28 07:51,36649.06,36740.34,36649.06,36730.11
57,2021-05-28 07:52,36744.7,36744.7,36612.36,36621.44
58,2021-05-28 07:53,36623.27,36730.17,36623.27,36730.17
